,home_team_name,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,away_team_name,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,home_score,away_score,matchweek
0,Bayern Munich,Sven Ulreich,Niklas Süle,Mats Hummels,Franck Ribéry,Robert Lewandowski,Sebastian Rudy,Arturo Vidal,Corentin Tolisso,Thomas Müller,David Alaba,Joshua Kimmich,Leverkusen,Bernd Leno,Jonathan Tah,Sven Bender,Leon Bailey,Admir Mehmedi,Wendell,Charles Aránguiz,Dominik Kohr,Kevin Volland,Karim Bellarabi,Benjamin Henrichs,3,1,Matchweek 1
1,Hertha BSC,Rune Jarstein,Per Ciljan Skjelbred,Karim Rekik,Vladimír Darida,Alexander Esswein,Salomon Kalou,Mathew Leckie,Sebastian Langkamp,Vedad Ibišević,Marvin Plattenhardt,Mitchell Weiser,Stuttgart,Ron-Robert Zieler,Josip Brekalo,Simon Terodde,Takuma Asano,Chadrac Akolo,Christian Gentner,Benjamin Pavard,Orel Mangala,Matthias Zimmermann,Ailton,Marcin Kamiński,2,0,Matchweek 1
2,Mainz 05,René Adler,Giulio Donati,Abdou Diallo,Danny Latza,Yoshinori Mutō,Alexandru Maxim,Viktor Fischer,Stefan Bell,Daniel Brosinski,Fabian Frei,Pablo de Blasis,Hannover 96,Philipp Tschauner,Julian Korb,Felipe,Felix Klaus,Martin Harnik,Florian Hübner,Matthias Ostrzolek,Niclas Füllkrug,Kenan Karaman,Pirmin Schwegler,Waldemar Anton,0,1,Matchweek 1
3,Wolfsburg,Koen Casteels,Paul Verhaegh,Ignacio Camacho,Riechedly Bazoer,Daniel Didavi,Yannick Gerhardt,Jakub Błaszczykowski,Ohis Felix Uduokhai,Robin Knoche,Kaylen Hinds,Mario Gómez,Dortmund,Roman Bürki,Dan-Axel Zagadou,Marc Bartra,Nuri Şahin,Mario Götze,Pierre-Emerick Aubameyang,Maximilian Philipp,Christian Pulisic,Sokratis Papastathopoulos,Łukasz Piszczek,Gonzalo Castro,0,3,Matchweek 1
4,Hoffenheim,Oliver Baumann,Håvard Nordtveit,Kerem Demirbay,Jeremy Toljan,Steven Zuber,Nadiem Amiri,Mark Uth,Benjamin Hübner,Kevin Vogt,Ádám Szalai,Dennis Geiger,Werder Bremen,Jiří Pavlenka,Robert Bauer,Ludwig Augustinsson,Thomas Delaney,Florian Kainz,Max Kruse,Miloš Veljković,Fin Bartels,Theodor Gebre Selassie,Lamine Sané,Maximilian Eggestein,1,0,Matchweek 1
5,Hamburger SV,Christian Mathenia,Dennis Diekmeier,Rick van Drongelen,Bobby Wood,Kyriakos Papadopoulos,André Hahn,Walace,Filip Kostić,Albin Ekdal,Nicolai Müller,Gideon Jung,Augsburg,Marwin Hitz,Jeffrey Gouweleeuw,Daniel Baier,Michael Gregoritsch,Jonathan Schmid,Koo Ja-cheol,Alfreð Finnbogason,Caiuby,Philipp Max,Raphael Framberger,Martin Hinteregger,1,0,Matchweek 1
6,Schalke 04,Ralf Fährmann,Matija Nastasić,Leon Goretzka,Franco Di Santo,Nabil Bentaleb,Yevhen Konoplyanka,Daniel Caligiuri,Thilo Kehrer,Bastian Oczipka,Amine Harit,Naldo,RB Leipzig,Péter Gulácsi,Willi Orban,Dayot Upamecano,Marcel Sabitzer,Naby Keïta,Yussuf Poulsen,Timo Werner,Stefan Ilsanker,Lukas Klostermann,Marcel Halstenberg,Konrad Laimer,2,0,Matchweek 1
7,Freiburg,Alexander Schwolow,Philipp Lienhart,Florian Niederlechner,Mike Frantz,Pascal Stenzel,Janik Haberer,Marc-Oliver Kempf,Julian Schuster,Nicolas Höfler,Christian Günter,Tim Kleindienst,Eint Frankfurt,Lukáš Hrádecký,Simon Falette,Gelson Fernandes,Jonathan de Guzmán,Sébastien Haller,Mijat Gaćinović,Jetro Willems,David Abraham,Makoto Hasebe,Timothy Chandler,Daichi Kamada,0,0,Matchweek 1
8,Gladbach,Yann Sommer,Jannik Vestergaard,Christoph Kramer,Denis Zakaria,Thorgan Hazard,Raffael,Lars Stindl,Ibrahima Traoré,Oscar Wendt,Matthias Ginter,Nico Elvedi,Köln,Timo Horn,Dominique Heintz,Frederik Sørensen,Marcel Risse,Miloš Jojić,Jonas Hector,Jhon Córdoba,Leonardo Bittencourt,Lukas Klünter,Matthias Lehmann,Konstantin Rausch,1,0,Matchweek 1
9,Köln,Timo Horn,Dominique Heintz,Frederik Sørensen,Marcel Risse,Yuya Osako,Jonas Hector,Jhon Córdoba,Leonardo Bittencourt,Jannes Horn,Lukas Klünter,Matthias Lehmann,Hamburger SV,Christian Mathenia,Dennis Diekmeier,Rick van Drongelen,Mërgim Mavraj,Bobby Wood,Kyriakos Papadopoulos,André Hahn,Walace,Aaron Hunt,Filip Kostić,Albin Ekdal,1,3,Matchweek 2
10,Eint Frankfurt,Lukáš Hrádecký,Simon Falette,Gelson Fernandes,Jonathan de Guzmán,Sébastien Haller,Mijat Gaćinović,Jetro Willems,Kevin-Prince Boateng,David Abraham,Makoto Hasebe,Timothy Chandler,Wolfsburg,Koen Casteels,Paul Verhaegh,Ignacio Camacho,Landry Dimata,Daniel Didavi,Yannick Gerhardt,Josuha Guilavogui,Maximilian Arnold,Marcel Tisserand,Robin Knoche,Mario Gómez,0,1,Matchweek 2
11,Augsburg,Marwin Hitz,Jeffrey Gouweleeuw,Daniel Baier,Michael Gregoritsch,Jonathan Schmid,Koo Ja-cheol,Alfreð Finnbogason,Caiuby,Philipp Max,Raphael Framberger,Martin Hinteregger,Gladbach,Yann Sommer,Jannik Vestergaard,Christoph Kramer,Patrick Herrmann,Denis Zakaria,Thorgan Hazard,Raffael,Lars Stindl,Oscar Wendt,Matthias Ginter,Nico Elvedi,2,2,Matchweek 2
