,Unnamed: 0,home_team_name,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,away_team_name,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,home_score,away_score,matchweek,matchweek_num,home_GD_prior,away_GD_prior,home_GD_form,away_GD_form,home_Points_prior,away_Points_prior,home_Points_form,away_Points_form
0,0,Parma,Luigi Sepe,Simone Iacoponi,Roberto Inglese,Hernani,Gastón Brugman,Vincent Laurini,Antonino Barillà,Bruno Alves,Gervinho,Riccardo Gagliolo,Dejan Kulusevski,Juventus,Wojciech Szczęsny,Mattia De Sciglio,Giorgio Chiellini,Miralem Pjanić,Sami Khedira,Cristiano Ronaldo,Douglas Costa,Alex Sandro,Blaise Matuidi,Leonardo Bonucci,Gonzalo Higuaín,0,1,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,Fiorentina,Bartłomiej Drągowski,Nikola Milenković,Milan Badelj,Gaetano Castrovilli,Riccardo Sottil,Germán Pezzella,Pol Lirola,Lorenzo Venuti,Federico Chiesa,Dušan Vlahović,Erick Pulgar,Napoli,Alex Meret,Allan,Mário Rui,José Callejón,Fabián Ruiz Peña,Dries Mertens,Piotr Zieliński,Giovanni Di Lorenzo,Lorenzo Insigne,Kalidou Koulibaly,Kostas Manolas,3,4,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,Udinese,Juan Musso,Samir Santos,William Troost-Ekong,Seko Fofana,Mato Jajalo,Kevin Lasagna,Jens Stryger Larsen,Ignacio Pussetto,Rolando Mandragora,Rodrigo Becão,Giuseppe Pezzella,Milan,Gianluigi Donnarumma,Davide Calabria,Samu Castillejo,Suso,Krzysztof Piątek,Hakan Çalhanoğlu,Fabio Borini,Alessio Romagnoli,Mateo Musacchio,Lucas Paquetá,Ricardo Rodríguez,1,0,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,SPAL,Etrit Berisha,Igor,Thiago Cionek,Simone Missiroli,Mattia Valoti,Jasmin Kurtić,Francesco Vicari,Felipe dal Belo,Federico Di Francesco,Andrea Petagna,Marco D'Alessandro,Atalanta,Pierluigi Gollini,Andrea Masiello,José Luis Palomino,Robin Gosens,Papu Gómez,Remo Freuler,Marten de Roon,Berat Djimsiti,Hans Hateboer,Mario Pašalić,Duván Zapata,2,3,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,Roma,Pau López,Bryan Cristante,Juan Jesus,Lorenzo Pellegrini,Edin Džeko,Aleksandar Kolarov,Cengiz Ünder,Federico Fazio,Nicolò Zaniolo,Alessandro Florenzi,Justin Kluivert,Genoa,Ionuț Radu,Cristián Zapata,Antonio Barreca,Domenico Criscito,Lukas Lerager,Christian Kouamé,Cristian Romero,Paolo Ghiglione,Lasse Schöne,Ivan Radovanović,Andrea Pinamonti,3,3,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,Torino,Salvatore Sirigu,Armando Izzo,Saša Lukić,Daniele Baselli,Andrea Belotti,Simone Zaza,Kevin Bonifazi,Cristian Ansaldi,Lorenzo De Silvestri,Gleison Bremer,Tomás Rincón,Sassuolo,Andrea Consigli,Marlon,Rogério,Jeremie Boga,Francesco Caputo,Pedro Obiang,Jeremy Toljan,Hamed Junior Traorè,Gian Marco Ferrari,Mehdi Bourabia,Manuel Locatelli,2,1,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,Hellas Verona,Marco Silvestri,Miguel Veloso,Davide Faraoni,Liam Henderson,Amir Rrahmani,Valerio Verre,Mattia Zaccagni,Marash Kumbulla,Paweł Dawidowicz,Gennaro Tutino,Darko Lazović,Bologna,Łukasz Skorupski,Stefano Denswil,Riccardo Orsolini,Nicola Sansone,Takehiro Tomiyasu,Andrea Poli,Roberto Soriano,Danilo Larangeira,Rodrigo Palacio,Mitchell Dijks,Kingsley Michael,1,1,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,Sampdoria,Emil Audero,Ronaldo Vieira,Albin Ekdal,Karol Linetty,Omar Colley,Gianluca Caprari,Jeison Murillo,Manolo Gabbiadini,Bartosz Bereszyński,Fabio Quagliarella,Nicola Murru,Lazio,Thomas Strakosha,Luiz Felipe,Luis Alberto,Joaquín Correa,Marco Parolo,Ciro Immobile,Senad Lulić,Sergej Milinković-Savić,Ștefan Radu,Manuel Lazzari,Francesco Acerbi,0,3,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,Cagliari,Rafael,Simone Pinna,Radja Nainggolan,João Pedro,Valter Birsa,Ragnar Klavan,Nahitan Nández,Artur Ioniță,Charalambos Lykogiannis,Luca Ceppitelli,Leonardo Pavoletti,Brescia,Jesse Joronen,Stefano Sabelli,Sandro Tonali,Nikolas Špalek,Alfredo Donnarumma,Jhon Chancellor,Andrea Cistana,Florian Ayé,Dimitri Bisoli,Bruno Martella,Daniele Dessena,0,1,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,Inter,Samir Handanović,Matías Vecino,Romelu Lukaku,Lautaro Martínez,Stefano Sensi,Andrea Ranocchia,Kwadwo Asamoah,Danilo D'Ambrosio,Milan Škriniar,Marcelo Brozović,Antonio Candreva,Lecce,Gabriel,Jacopo Petriccione,Fabio Lucioni,Gianluca Lapadula,Filippo Falco,Luca Rossettini,Andrea La Mantia,Marco Calderoni,Andrea Rispoli,Žan Majer,Panagiotis Tachtsidis,4,0,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,Bologna,Łukasz Skorupski,Stefano Denswil,Gary Medel,Riccardo Orsolini,Nicola Sansone,Takehiro Tomiyasu,Andrea Poli,Roberto Soriano,Mattia Destro,Danilo Larangeira,Mitchell Dijks,SPAL,Etrit Berisha,Igor,Thiago Cionek,Simone Missiroli,Mattia Valoti,Jasmin Kurtić,Francesco Vicari,Felipe dal Belo,Federico Di Francesco,Andrea Petagna,Marco D'Alessandro,1,0,Matchweek 2,2,0.0,-1.0,0.0,-1.0,1.0,0.0,1.0,0.0
11,11,Milan,Gianluigi Donnarumma,Davide Calabria,Ismaël Bennacer,Samu Castillejo,Suso,Hakan Çalhanoğlu,Alessio Romagnoli,Mateo Musacchio,André Silva,Ricardo Rodríguez,Franck Kessié,Brescia,Jesse Joronen,Stefano Sabelli,Sandro Tonali,Nikolas Špalek,Alfredo Donnarumma,Ernesto Torregrossa,Jhon Chancellor,Andrea Cistana,Dimitri Bisoli,Bruno Martella,Daniele Dessena,1,0,Matchweek 2,2,-1.0,1.0,-1.0,1.0,0.0,3.0,0.0,3.0
12,12,Juventus,Wojciech Szczęsny,Mattia De Sciglio,Matthijs de Ligt,Miralem Pjanić,Sami Khedira,Cristiano Ronaldo,Douglas Costa,Alex Sandro,Blaise Matuidi,Leonardo Bonucci,Gonzalo Higuaín,Napoli,Alex Meret,Allan,José Callejón,Fabián Ruiz Peña,Dries Mertens,Piotr Zieliński,Giovanni Di Lorenzo,Lorenzo Insigne,Kalidou Koulibaly,Faouzi Ghoulam,Kostas Manolas,4,3,Matchweek 2,2,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0
13,13,Lazio,Thomas Strakosha,Luiz Felipe,Lucas Leiva,Luis Alberto,Joaquín Correa,Ciro Immobile,Senad Lulić,Sergej Milinković-Savić,Ștefan Radu,Manuel Lazzari,Francesco Acerbi,Roma,Pau López,Bryan Cristante,Lorenzo Pellegrini,Edin Džeko,Aleksandar Kolarov,Cengiz Ünder,Federico Fazio,Nicolò Zaniolo,Gianluca Mancini,Alessandro Florenzi,Justin Kluivert,1,1,Matchweek 2,2,3.0,0.0,3.0,0.0,3.0,1.0,3.0,1.0
14,14,Sassuolo,Andrea Consigli,Marlon,Alfred Duncan,Francesco Caputo,Federico Peluso,Pedro Obiang,Mert Müldür,Hamed Junior Traorè,Domenico Berardi,Gian Marco Ferrari,Manuel Locatelli,Sampdoria,Emil Audero,Ronaldo Vieira,Albin Ekdal,Gastón Ramírez,Jakub Jankto,Omar Colley,Jeison Murillo,Bartosz Bereszyński,Mehdi Léris,Fabio Quagliarella,Nicola Murru,4,1,Matchweek 2,2,-1.0,-3.0,-1.0,-3.0,0.0,0.0,0.0,0.0
15,15,Udinese,Juan Musso,Samir Santos,William Troost-Ekong,Mato Jajalo,Rodrigo De Paul,Ken Sema,Kevin Lasagna,Jens Stryger Larsen,Ilija Nestorovski,Rolando Mandragora,Rodrigo Becão,Parma,Luigi Sepe,Simone Iacoponi,Alberto Grassi,Roberto Inglese,Hernani,Vincent Laurini,Antonino Barillà,Bruno Alves,Gervinho,Riccardo Gagliolo,Dejan Kulusevski,1,3,Matchweek 2,2,1.0,-1.0,1.0,-1.0,3.0,0.0,3.0,0.0
16,16,Genoa,Ionuț Radu,Cristián Zapata,Antonio Barreca,Domenico Criscito,Lukas Lerager,Christian Kouamé,Cristian Romero,Paolo Ghiglione,Lasse Schöne,Ivan Radovanović,Andrea Pinamonti,Fiorentina,Bartłomiej Drągowski,Nikola Milenković,Milan Badelj,Luca Ranieri,Gaetano Castrovilli,Kevin-Prince Boateng,Riccardo Sottil,Germán Pezzella,Pol Lirola,Federico Chiesa,Erick Pulgar,2,1,Matchweek 2,2,0.0,-1.0,0.0,-1.0,1.0,0.0,1.0,0.0
17,17,Cagliari,Robin Olsen,Radja Nainggolan,Marko Rog,Alberto Cerri,João Pedro,Ragnar Klavan,Nahitan Nández,Fabio Pisacane,Artur Ioniță,Luca Ceppitelli,Luca Pellegrini,Inter,Samir Handanović,Matías Vecino,Romelu Lukaku,Lautaro Martínez,Stefano Sensi,Andrea Ranocchia,Kwadwo Asamoah,Danilo D'Ambrosio,Milan Škriniar,Marcelo Brozović,Antonio Candreva,1,2,Matchweek 2,2,-1.0,4.0,-1.0,4.0,0.0,3.0,0.0,3.0
